"Number","Team","Standup","Date","Time","Name","Question-1","Answer-1","Question-2","Answer-2","Question-3","Answer-3","Question-4","Answer-4","Goal Tracking","Time Tracking"
1,"pupi","agile","2017/06/01","23:00","pemattio","Que hiciste hoy? - Move los tickets","Filtrado de cuidadores por localidad en back y front","Que vas a hacer manana?",,"Que problemas tuviste hoy?","Me compliqué solo tratando de instalar un metamodel de JPA (que al final no logré resolver), pero José me dio la idea de que no era necesario. Tuve que hacer modificaciones para debuggear con Spring Boot en NetBeans","Tipo de Horas: 1-Codigo, 2-Testing, 3-Reunion, 4-Documentacion","1",,6
2,"pupi","agile","2017/06/01","20:00","joseboretto","Que hiciste hoy? - Move los tickets",,"Que vas a hacer manana?",,"Que problemas tuviste hoy?",,"Tipo de Horas: 1-Codigo, 2-Testing, 3-Reunion, 4-Documentacion",,,0
3,"pupi","agile","2017/05/31","23:56","pemattio","Que hiciste hoy? - Move los tickets","Backend de cuidadores","Que vas a hacer manana?","Sigo con eso y veo después qué más","Que problemas tuviste hoy?","Instalación de Data Model","Tipo de Horas: 1-Codigo, 2-Testing, 3-Reunion, 4-Documentacion","1",,2
4,"pupi","agile","2017/05/30","21:00","pemattio","Que hiciste hoy? - Move los tickets",,"Que vas a hacer manana?",,"Que problemas tuviste hoy?",,"Tipo de Horas: 1-Codigo, 2-Testing, 3-Reunion, 4-Documentacion",,,0
5,"pupi","agile","2017/05/29","23:30","pemattio","Que hiciste hoy? - Move los tickets","Filtrado por front","Que vas a hacer manana?","Filtrado por back y control del mismo, agregar localidad y provincia al form del cuidador","Que problemas tuviste hoy?",,"Tipo de Horas: 1-Codigo, 2-Testing, 3-Reunion, 4-Documentacion","1",,1
6,"pupi","agile","2017/05/29","20:00","joseboretto","Que hiciste hoy? - Move los tickets",,"Que vas a hacer manana?",,"Que problemas tuviste hoy?",,"Tipo de Horas: 1-Codigo, 2-Testing, 3-Reunion, 4-Documentacion",,,0
7,"pupi","agile","2017/05/29","18:58","jorgeconstable","Que hiciste hoy? - Move los tickets","aprobe la pr de <@U5GPM94F8>, agregué a mi branch e hice pr de lo mio (base de datos y script de carga)","Que vas a hacer manana?","modificar frontend de nuevo cuidador","Que problemas tuviste hoy?","ninguno","Tipo de Horas: 1-Codigo, 2-Testing, 3-Reunion, 4-Documentacion","1","60%",1
8,"pupi","agile","2017/05/28","19:49","joseboretto","Que hiciste hoy? - Move los tickets","Test refactor Imágenes y agregué PostgreSQL a heroku","Que vas a hacer manana?",,"Que problemas tuviste hoy?",,"Tipo de Horas: 1-Codigo, 2-Testing, 3-Reunion, 4-Documentacion","7",,7
9,"pupi","agile","2017/05/27","20:35","pemattio","Que hiciste hoy? - Move los tickets","Leer funcionalidad de easyautocomplete, REST de provincia y carga desde BD para mostrar localidades en el autocomplete","Que vas a hacer manana?","Quizás más del front","Que problemas tuviste hoy?","No sabía un joraca de JPA ni Spring y tenía muchas huevadas de funcionalidad el easyautocomplete","Tipo de Horas: 1-Codigo, 2-Testing, 3-Reunion, 4-Documentacion","1",,6
10,"pupi","agile","2017/05/26","23:00","pemattio","Que hiciste hoy? - Move los tickets","Instalé plugin de easyautocomplete","Que vas a hacer manana?","Seguir un poco más con eso, hacer un merge con el master y agregar algo más","Que problemas tuviste hoy?",,"Tipo de Horas: 1-Codigo, 2-Testing, 3-Reunion, 4-Documentacion","1",,1
11,"pupi","agile","2017/05/26","21:40","joseboretto","Que hiciste hoy? - Move los tickets",,"Que vas a hacer manana?","Refactor Imágenes","Que problemas tuviste hoy?",,"Tipo de Horas: 1-Codigo, 2-Testing, 3-Reunion, 4-Documentacion",,,0
12,"pupi","agile","2017/05/25","22:28","pemattio","Que hiciste hoy? - Move los tickets","Un poco del front, peleé con el autocompletar de Materialize","Que vas a hacer manana?","Investigar autocomplete de jQuery","Que problemas tuviste hoy?","No encontré una solución entendible para mí para hacer autocomplete dinámico con Materialize","Tipo de Horas: 1-Codigo, 2-Testing, 3-Reunion, 4-Documentacion","1",,3
13,"pupi","agile","2017/05/25","21:32","joseboretto","Que hiciste hoy? - Move los tickets","Review de la PR a jorge","Que vas a hacer manana?","Empezar con el redactor de imágenes, se lo quiero mostrar al profe","Que problemas tuviste hoy?",,"Tipo de Horas: 1-Codigo, 2-Testing, 3-Reunion, 4-Documentacion","1",,2
14,"pupi","agile","2017/05/25","11:32","jorgeconstable","Que hiciste hoy? - Move los tickets","Leer sobre JPA, agregar clases localidad y provincia y actualizar direccion","Que vas a hacer manana?","depende que termine hoy o no","Que problemas tuviste hoy?","por ahora ninguno","Tipo de Horas: 1-Codigo, 2-Testing, 3-Reunion","1",,3
15,"pupi","agile","2017/05/24","23:24","pemattio","Que hiciste hoy? - Move los tickets","ver código y autocompletar","Que vas a hacer manana?","refactorización de front de cuidadores","Que problemas tuviste hoy?","skip","Tipo de Horas: 1-Codigo, 2-Testing, 3-Reunion","1",,"1"
16,"pupi","agile","2017/05/24","20:00","joseboretto","Que hiciste hoy? - Move los tickets",,"Que problemas hoy?",,"Que vas a hacer manana?","Refactor hosting Imágenes","Tipo de Horas: 1-Codigo, 2-Testing, 3-Reunion",,,"1"
17,"pupi","agile","2017/05/23","22:25","pemattio","Que hiciste desde la ultima reunion?","Revision de código del master, instalación de github escritorio","Que problemas tuviste?","Ninguno","Que vas a hacer?","Terminar de ver el código y alguna tarea de la owner de búsqueda",,,,"1"
18,"pupi","agile","2017/05/23","16:41","joseboretto","Que hiciste desde la ultima reunion?",,"Que problemas tuviste?",,"Que vas a hacer?","Refactor hosting Imágenes",,,,"1"
19,"pupi","agile","2017/05/23","16:00","jorgeconstable","Que hiciste desde la ultima reunion?","leer sobre slack y limibot","Que problemas tuviste?","no me dejaba reportar","Que vas a hacer?","agregar localidad y provincia al modelo",,,,"1"
20,"pupi","agile","2017/05/23","15:54","jorgeconstable","Que hiciste desde la ultima reunion?","leer sobre slack y limibot","Que problemas tuviste?","no me dejaba reportar","Que vas a hacer?","agregar localidad y provincia al modelo",,,,"1"
21,"pupi","agile","2017/05/22","14:12","jorgeconstable","Que hiciste desde la ultima reunion?","Lei sobre zenhub y agregué las us","Que problemas tuviste?","Falta definir y coordinar uso de zenhub para sacar mayor provecho","Que vas a hacer?","Seguir leyendo sobre zenhub y ver si puedo agregar las clases al dominio",,,,"1"
22,"pupi","agile","2017/05/22","10:00","joseboretto","Que hiciste desde la ultima reunion?","Configure heroku y Travis CI","Que problemas tuviste?",,"Que vas a hacer?",,,,,"1"
23,"pupi","agile","2017/05/21","11:26","joseboretto","Que hiciste desde la ultima reunion?","Spring boot y Spring MVC","Que hiciste vas a hacer?","Deploy en Heroku","Que problemas tuviste?",,,,,"2"
24,"pupi","agile","2017/05/20","17:45","joseboretto","Que hiciste desde la ultima reunion?","Sprint planning","Que hiciste vas a hacer?","Instalar el bot","Que problemas tuviste?",,,,,"3"
